Discount,Transactions,Sales,Total_Profit,Avg_Profit,Avg_Profit_Margin
0.0,4798,1087908.47,320987.6032,66.90029245518967,0.34016048353480616
0.1,94,54369.351,9029.177,96.05507446808511,0.1557919621749409
0.15,52,27558.5215,1418.9915,27.288298076923077,0.034162895927601813
0.2,3657,764594.368,90337.306,24.702572053595844,0.17683893902105552
0.3,227,103226.655,-10369.277399999999,-45.67963612334801,-0.11548143486469478
0.32,27,14493.4588,-2391.1376999999998,-88.56065555555554,-0.17429193899782136
0.4,206,116417.784,-23057.0504,-111.9274291262136,-0.2224919093851133
0.45,11,5484.974,-2493.1111,-226.64646363636365,-0.45454545454545453
0.5,66,58918.54,-20506.4281,-310.7034560606061,-0.5490909090909091
0.6,138,6644.7,-5944.6552,-43.0772115942029,-0.6891304347826087
0.7,418,40620.282,-40075.3569,-95.87405956937799,-0.7947368421052632
0.8,300,16963.756,-30539.0392,-101.79679733333333,-1.825
