Product ID,Product Name,Category,Sub-Category,Orders,Quantity,Sales,Profit,Avg_Discount,Profit_Margin
FUR-BO-10000112,"Bush Birmingham Collection Bookcase, Dark Cherry",Furniture,Bookcases,1,9,825.174,-117.882,0.3,-0.14285714285714288
FUR-BO-10000330,"Sauder Camden County Barrister Bookcase, Planked Cherry Finish",Furniture,Bookcases,3,10,1064.624,24.196,0.09999999999999999,0.022727272727272728
FUR-BO-10000362,Sauder Inglewood Library Bookcases,Furniture,Bookcases,5,14,2154.348,311.1836,0.13,0.14444444444444446
FUR-BO-10000468,O'Sullivan 2-Shelf Heavy-Duty Bookcases,Furniture,Bookcases,6,21,723.842,-133.1092,0.18333333333333335,-0.18389261744966443
FUR-BO-10000711,"Hon Metal Bookcases, Gray",Furniture,Bookcases,2,12,851.76,229.9752,0.0,0.27
FUR-BO-10000780,O'Sullivan Plantations 2-Door Library in Landvery Oak,Furniture,Bookcases,5,22,2946.3668,-767.7436,0.332,-0.2605729877216917
FUR-BO-10001337,O'Sullivan Living Dimensions 2-Shelf Bookcases,Furniture,Bookcases,10,28,2970.059,-78.637,0.11000000000000001,-0.026476578411405292
FUR-BO-10001519,O'Sullivan 3-Shelf Heavy-Duty Bookcases,Furniture,Bookcases,5,22,1119.195,147.0942,0.16999999999999998,0.13142857142857145
FUR-BO-10001567,"Bush Westfield Collection Bookcases, Dark Cherry Finish, Fully Assembled",Furniture,Bookcases,1,3,90.882,-190.8522,0.7,-2.1
FUR-BO-10001601,"Sauder Mission Library with Doors, Fruitwood Finish",Furniture,Bookcases,3,10,935.1972,-125.74080000000001,0.26333333333333336,-0.13445378151260506
FUR-BO-10001608,"Hon Metal Bookcases, Black",Furniture,Bookcases,5,30,1570.0775999999998,-26.972399999999993,0.244,-0.01717902350813743
FUR-BO-10001619,O'Sullivan Cherrywood Estates Traditional Bookcase,Furniture,Bookcases,2,6,424.90000000000003,27.193599999999996,0.1,0.06399999999999999
FUR-BO-10001798,Bush Somerset Collection Bookcase,Furniture,Bookcases,4,12,1263.9569999999999,-56.3214,0.21250000000000002,-0.04455958549222798
FUR-BO-10001811,"Atlantic Metals Mobile 5-Shelf Bookcases, Custom Colors",Furniture,Bookcases,8,26,5492.885,15.049,0.31625,0.00273972602739726
FUR-BO-10001918,"Sauder Forest Hills Library with Doors, Woodland Oak Finish",Furniture,Bookcases,3,10,1014.174,-418.548,0.2833333333333333,-0.41269841269841273
FUR-BO-10001972,O'Sullivan 4-Shelf Bookcase in Odessa Pine,Furniture,Bookcases,7,37,2740.197,-975.0988,0.4214285714285714,-0.355849889624724
FUR-BO-10002202,"Atlantic Metals Mobile 2-Shelf Bookcases, Custom Colors",Furniture,Bookcases,2,3,400.0268,-113.2606,0.51,-0.28313253012048195
FUR-BO-10002206,"Bush Saratoga Collection 5-Shelf Bookcase, Hanover Cherry, *Special Order",Furniture,Bookcases,1,1,119.833,-12.6882,0.15,-0.10588235294117647
FUR-BO-10002213,DMI Eclipse Executive Suite Bookcases,Furniture,Bookcases,6,27,11046.609,90.17640000000002,0.18333333333333335,0.00816326530612245
FUR-BO-10002213,"Sauder Forest Hills Library, Woodland Oak Finish",Furniture,Bookcases,4,15,1875.034,-70.49,0.125,-0.03759398496240601
FUR-BO-10002268,Sauder Barrister Bookcases,Furniture,Bookcases,3,16,754.7336,-294.7672,0.4066666666666667,-0.3905579399141631
FUR-BO-10002545,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",Furniture,Bookcases,8,35,7539.7122,780.3302,0.18375,0.10349601938386985
FUR-BO-10002598,"Hon Metal Bookcases, Putty",Furniture,Bookcases,5,19,1320.228,362.70779999999996,0.04,0.27473118279569886
FUR-BO-10002613,"Atlantic Metals Mobile 4-Shelf Bookcases, Custom Colors",Furniture,Bookcases,6,27,5184.081,-126.44099999999996,0.26666666666666666,-0.024390243902439015
FUR-BO-10002824,Bush Mission Pointe Library,Furniture,Bookcases,3,6,748.8608,24.156800000000004,0.17333333333333334,0.03225806451612904
FUR-BO-10002853,O'Sullivan 5-Shelf Heavy-Duty Bookcases,Furniture,Bookcases,4,9,540.804,-12.290999999999997,0.175,-0.02272727272727272
FUR-BO-10002916,"Rush Hierlooms Collection 1"" Thick Stackable Bookcases",Furniture,Bookcases,4,15,2487.759,410.352,0.0375,0.16494845360824742
FUR-BO-10003034,"O'Sullivan Elevations Bookcase, Cherry Finish",Furniture,Bookcases,5,18,1912.308,-68.1096,0.2,-0.03561643835616438
FUR-BO-10003159,"Sauder Camden County Collection Libraries, Planked Cherry Finish",Furniture,Bookcases,7,19,1909.8178,-78.18639999999999,0.1457142857142857,-0.04093919325707405
FUR-BO-10003272,O'Sullivan Living Dimensions 5-Shelf Bookcases,Furniture,Bookcases,6,21,3420.7704,-755.7516,0.24,-0.22093023255813957
FUR-BO-10003404,"Global Adaptabilites Bookcase, Cherry/Storm Gray Finish",Furniture,Bookcases,2,8,3447.84,206.87040000000002,0.0,0.060000000000000005
FUR-BO-10003433,Sauder Cornerstone Collection Library,Furniture,Bookcases,3,14,322.192,-81.16760000000001,0.2333333333333333,-0.2519230769230769
FUR-BO-10003441,"Bush Westfield Collection Bookcases, Fully Assembled",Furniture,Bookcases,6,18,1473.2982000000002,73.71539999999999,0.19499999999999998,0.05003427004797805
FUR-BO-10003450,"Bush Westfield Collection Bookcases, Dark Cherry Finish",Furniture,Bookcases,3,14,649.376,-97.4064,0.2333333333333333,-0.15000000000000002
FUR-BO-10003546,Hon 4-Shelf Metal Bookcases,Furniture,Bookcases,4,22,1474.308,-191.86200000000002,0.25,-0.13013698630136988
FUR-BO-10003660,"Bush Cubix Collection Bookcases, Fully Assembled",Furniture,Bookcases,3,4,729.2339999999999,48.6156,0.2333333333333333,0.06666666666666668
FUR-BO-10003893,Sauder Camden County Collection Library,Furniture,Bookcases,2,16,1368.2620000000002,-103.482,0.235,-0.07563025210084033
